"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"CSDE1","HGNC:29905","CSDE1","D1S155E|UNR",""
"UBE3C","HGNC:16803","UBE3C","KIAA0010|KIAA10",""
"REV3L","HGNC:9968","REV3L","POLZ|REV3",""
"TENM1","HGNC:8117","TENM1","TEN-M1|TEN1","ODZ3|TNM|ODZ1"
"PAX7","HGNC:8621","PAX7","Hup1",""
"MASP2","HGNC:6902","MASP2","Map19|sMAP|MAP-2","MASP1P1"
"IYD","HGNC:21071","IYD","dJ422F24.1|DEHAL1","C6orf71"
"FAM76A","HGNC:28530","FAM76A","MGC34648",""
"TRAF3IP3","HGNC:30766","TRAF3IP3","T3JAM",""
"POMT2","HGNC:19743","POMT2","LGMD2N",""
"VTA1","HGNC:20954","VTA1","HSPC228|My012","C6orf55"
"MLXIPL","HGNC:12744","MLXIPL","WS-bHLH|MIO|CHREBP|MONDOB|bHLHd14","WBSCR14"
"BAZ1B","HGNC:961","BAZ1B","WSTF","WBSCR9|WBSCR10"
"RANBP9","HGNC:13727","RANBP9","RanBPM",""
"ETV7","HGNC:18160","ETV7","TEL2|TEL-2",""
"SPRTN","HGNC:25356","SPRTN","DKFZP547N043|Spartan|DVC1","C1orf124"
"METTL13","HGNC:24248","METTL13","CGI-01|FEAT","KIAA0859|DFNM1|EEF1AKNMT"
"DYRK4","HGNC:3095","DYRK4","",""
"ZNF207","HGNC:12998","ZNF207","BuGZ",""
"UQCRC1","HGNC:12585","UQCRC1","D3S3191|QCR1|UQCR1",""
"STARD3NL","HGNC:19169","STARD3NL","MENTHO|MGC3251",""
"CD9","HGNC:1709","CD9","BA2|P24|TSPAN29|MRP-1","MIC3"
"HHATL","HGNC:13242","HHATL","KIAA1173|OACT3|MSTP002|MBOAT3","C3orf3|GUP1"
"NCAPD2","HGNC:24305","NCAPD2","CNAP1|hCAP-D2|CAP-D2|KIAA0159",""
"IFFO1","HGNC:24970","IFFO1","HOM-TES-103","IFFO"
"GIPR","HGNC:4271","GIPR","",""
"PHF7","HGNC:18458","PHF7","NYD-SP6|HSPC226",""
"SEMA3G","HGNC:30400","SEMA3G","FLJ00014|sem2",""
"NISCH","HGNC:18006","NISCH","KIAA0975|I-1|IRAS",""
"STAB1","HGNC:18628","STAB1","KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2",""
"FUZ","HGNC:26219","FUZ","FLJ22688|Fy|CPLANE3",""
"SLC6A13","HGNC:11046","SLC6A13","GAT2",""
"IDS","HGNC:5389","IDS","ID2S","SIDS"
"PRSS3","HGNC:9486","PRSS3","TRY3|TRY4","PRSS4"
"ZNF200","HGNC:12993","ZNF200","",""
"CD4","HGNC:1678","CD4","T4|Leu-3",""
"LRRC23","HGNC:19138","LRRC23","B7|LRPB7",""
"BTK","HGNC:1133","BTK","ATK|XLA|PSCTK1","AGMX1|IMD1"
"HFE","HGNC:4886","HFE","HLA-H|HFE1",""
"SCMH1","HGNC:19003","SCMH1","Scml3",""
"FYN","HGNC:4037","FYN","SYN|SLK|MGC45350",""
"HIVEP2","HGNC:4921","HIVEP2","MBP-2|HIV-EP2|MIBP1|ZAS2|Schnurri-2|ZNF40B",""
"FMO1","HGNC:3769","FMO1","",""
"ELOA","HGNC:11620","ELOA","SIII|TCEB3A","TCEB3"
"LYPLA2","HGNC:6738","LYPLA2","APT-2",""
"CLCN6","HGNC:2024","CLCN6","CLC-6|KIAA0046|ClC-6",""
"MRC2","HGNC:16875","MRC2","KIAA0709|ENDO180|CLEC13E|CD280",""
"SLC6A7","HGNC:11054","SLC6A7","PROT",""
