ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000133216,-3.126444043,-3.126444043,-5.537941247,0.001597863,0.042706426,-0.581950752,EPHB2
ENSG00000133265,3.09423484,3.09423484,5.255762544,0.001267895,0.039879185,-0.522960025,HSPBP1
ENSG00000133398,2.074531833,2.074531833,4.730224965,0.002268863,0.047407147,-1.116163841,MED10
ENSG00000133401,-3.618545778,-3.618545778,-6.743812701,0.000294948,0.02855,0.933887448,PDZD2
ENSG00000133561,-6.698512558,-6.698512558,-7.667672147,0.000694124,0.033749705,-0.028306061,GIMAP6
ENSG00000133639,2.277688537,2.277688537,4.670971499,0.002428623,0.048159423,-1.185811362,BTG1
ENSG00000133958,-3.45494343,-3.45494343,-5.834344055,0.00122753,0.039417095,-0.328923066,UNC79
ENSG00000133983,2.170690299,2.170690299,5.095256155,0.001508395,0.042011862,-0.699503942,COX16
ENSG00000134049,3.979136805,3.979136805,9.152340793,4.40E-05,0.019406976,2.72701957,IER3IP1
ENSG00000134056,2.480494439,2.480494439,5.521910093,0.000957792,0.036236858,-0.238974327,MRPS36
ENSG00000134057,2.496660736,2.496660736,5.44323158,0.001039596,0.037189411,-0.321803107,CCNB1
ENSG00000134108,2.263182647,2.263182647,4.77259895,0.002161768,0.047407147,-1.06670369,ARL8B
ENSG00000134245,-2.771409316,-2.771409316,-5.403528069,0.001083821,0.037740205,-0.363956836,WNT2B
ENSG00000134294,2.350877239,2.350877239,4.691399988,0.002372176,0.047978436,-1.161735402,SLC38A2
ENSG00000134375,2.27791596,2.27791596,5.28001572,0.001235423,0.039465838,-0.496631912,TIMM17A
ENSG00000134516,-4.049362153,-4.049362153,-7.647738988,0.00013647,0.022929945,1.678465593,DOCK2
ENSG00000134758,3.141630625,3.141630625,6.395635201,0.000405551,0.030215461,0.620445082,RNF138
ENSG00000134970,3.559413499,3.559413499,6.399367402,0.000404141,0.030215461,0.623888857,TMED7
ENSG00000135094,-3.877967748,-3.877967748,-6.242778082,0.000867329,0.035701479,-0.000548879,SDS
ENSG00000135211,2.522400139,2.522400139,5.779301396,0.00073655,0.034562877,0.025543738,TMEM60
ENSG00000135317,2.171473059,2.171473059,4.770521007,0.002166887,0.047407147,-1.069122389,SNX14
ENSG00000135423,-2.337582897,-2.337582897,-4.931874824,0.001806621,0.044629656,-0.883368642,GLS2
ENSG00000135436,-2.479084903,-2.479084903,-5.349061261,0.001147952,0.038672981,-0.422175882,FAM186B
ENSG00000135698,2.275549434,2.275549434,5.178357169,0.001378073,0.040733027,-0.60759783,MPHOSPH6
ENSG00000135976,-3.216941652,-3.216941652,-5.214508869,0.001325339,0.040443498,-0.567952372,ANKRD36
ENSG00000136156,2.171376318,2.171376318,5.022550995,0.001633745,0.043041345,-0.780802702,ITM2B
ENSG00000136250,-6.112436855,-6.112436855,-9.165862338,0.000110753,0.022929945,1.794710007,AOAH
ENSG00000136261,2.056051704,2.056051704,4.543098513,0.00281765,0.04979793,-1.338048406,BZW2
ENSG00000136367,-2.838631719,-2.838631719,-4.685155115,0.002389275,0.048074116,-1.169088139,ZFHX2
ENSG00000136521,2.335957809,2.335957809,5.219282295,0.001318546,0.040443498,-0.562732835,NDUFB5
ENSG00000136522,2.140192517,2.140192517,4.951380909,0.00176778,0.044062965,-0.861194612,MRPL47
ENSG00000136810,2.522659409,2.522659409,5.88884007,0.000660288,0.033749705,0.135174657,TXN
ENSG00000136938,2.7391911,2.7391911,5.181157296,0.001373906,0.040733027,-0.604519819,ANP32B
ENSG00000136982,2.700778317,2.700778317,5.840365408,0.000692887,0.033749705,0.086872695,DSCC1
ENSG00000137491,-5.763072746,-5.763072746,-6.126607807,0.00095566,0.036236858,-0.091635326,SLCO2B1
ENSG00000137563,2.559316639,2.559316639,5.690985689,0.000805263,0.035595909,-0.064115313,GGH
ENSG00000137573,-2.430797567,-2.430797567,-5.194388845,0.001354405,0.040649567,-0.589991711,SULF1
ENSG00000137672,-3.760255582,-3.760255582,-7.869680329,0.000114225,0.022929945,1.847192463,TRPC6
ENSG00000137692,2.873008827,2.873008827,6.293966019,0.000446167,0.030923789,0.525917071,DCUN1D5
ENSG00000137809,-4.103321229,-4.103321229,-4.756733223,0.002201195,0.047407147,-1.085188788,ITGA11
ENSG00000137818,2.192984892,2.192984892,4.693721003,0.002365855,0.047975424,-1.159004235,RPLP1
ENSG00000137876,2.222860248,2.222860248,5.228661701,0.001305311,0.040264346,-0.552487164,RSL24D1
ENSG00000137944,3.456474745,3.456474745,5.907044701,0.001152412,0.038672981,-0.268788956,KYAT3
ENSG00000138336,-2.982560889,-2.982560889,-5.863084025,0.000677389,0.033749705,0.10955242,TET1
ENSG00000138378,-2.838631719,-2.838631719,-4.595779016,0.002649588,0.049473012,-1.275010123,STAT4
ENSG00000138411,-4.750000852,-4.750000852,-6.052487077,0.000562308,0.032538536,0.295766072,HECW2
ENSG00000138668,2.131141954,2.131141954,5.022238432,0.001634308,0.043041345,-0.78115401,HNRNPD
ENSG00000138670,-3.097602988,-3.097602988,-6.442886784,0.000388103,0.030215461,0.663908723,RASGEF1B
ENSG00000138759,-3.381044112,-3.381044112,-5.011612118,0.001653589,0.043133899,-0.793106763,FRAS1
ENSG00000138944,-3.851112171,-3.851112171,-6.013897092,0.00058385,0.032677455,0.258237583,SHISAL1
ENSG00000138964,-4.969160148,-4.969160148,-5.688112178,0.002599748,0.049327323,-1.009756132,PARVG
ENSG00000139547,-2.145530517,-2.145530517,-4.626140408,0.002557791,0.048931418,-1.238883224,RDH16
ENSG00000139726,2.104712864,2.104712864,4.866694104,0.001943459,0.045579675,-0.957904421,DENR
ENSG00000140022,-3.504977668,-3.504977668,-4.683136576,0.002394832,0.048087626,-1.171466119,STON2
ENSG00000140368,-2.906103821,-2.906103821,-5.065285742,0.002486646,0.048485434,-1.012769925,PSTPIP1
ENSG00000140563,-2.817079442,-2.817079442,-5.661891211,0.00082945,0.035701479,-0.093902924,MCTP2
ENSG00000140836,-2.146745745,-2.146745745,-4.806662791,0.002079739,0.046614608,-1.027152724,ZFHX3
ENSG00000140873,-6.139338028,-6.139338028,-7.027594677,0.001027409,0.037187928,-0.299932508,ADAMTS18
ENSG00000140905,3.145125504,3.145125504,6.018440913,0.000581266,0.032677455,0.262667279,GCSH
ENSG00000140945,-3.304611548,-3.304611548,-5.259336049,0.001263051,0.039817019,-0.519075081,CDH13
ENSG00000140968,-3.254120571,-3.254120571,-6.317248508,0.000436477,0.030793223,0.547686642,IRF8
ENSG00000141552,2.207322763,2.207322763,4.793886288,0.002110094,0.047043386,-1.041965467,ANAPC11
ENSG00000141579,-5.04282047,-5.04282047,-8.656406922,0.000151605,0.023246427,1.540364523,ZNF750
ENSG00000141933,2.408372323,2.408372323,4.866259633,0.001944409,0.045579675,-0.958403526,TPGS1
ENSG00000141968,-3.148270686,-3.148270686,-4.996644761,0.001681179,0.043368456,-0.809972756,VAV1
ENSG00000142149,-3.230452781,-3.230452781,-6.489760293,0.000371626,0.030215461,0.706733469,HUNK
ENSG00000142408,-2.269936292,-2.269936292,-4.839968389,0.002002865,0.045971269,-0.988662201,CACNG8
ENSG00000142512,-3.125899287,-3.125899287,-6.016007951,0.000582648,0.032677455,0.260295785,SIGLEC10
ENSG00000142684,2.215912238,2.215912238,4.825344767,0.002036222,0.04624875,-1.005540485,ZNF593
ENSG00000142765,-3.624520456,-3.624520456,-6.412921771,0.000754363,0.034994852,0.129651347,SYTL1
ENSG00000143119,-5.274775012,-5.274775012,-7.914026473,0.000246895,0.026904681,1.130174044,CD53
ENSG00000143196,-5.015247832,-5.015247832,-5.550791598,0.001579368,0.042606605,-0.570713924,DPT
ENSG00000143228,2.654040406,2.654040406,5.877713454,0.000667615,0.033749705,0.124117522,NUF2
ENSG00000143256,2.672990127,2.672990127,5.840184169,0.000693012,0.033749705,0.086691467,PFDN2
ENSG00000143353,2.962156602,2.962156602,5.754944963,0.00075482,0.034994852,0.000930637,LYPLAL1
ENSG00000143365,-2.920996006,-2.920996006,-5.262318794,0.001259024,0.039783784,-0.515833895,RORC
ENSG00000143382,-2.66020897,-2.66020897,-5.402599208,0.001084881,0.037740205,-0.364945892,ADAMTSL4
ENSG00000143401,2.713392552,2.713392552,6.096434583,0.000538856,0.031974879,0.338250977,ANP32E
ENSG00000143552,-3.176918526,-3.176918526,-5.000690781,0.002647391,0.049473012,-1.074368437,NUP210L
ENSG00000143742,2.700755159,2.700755159,6.275024416,0.00045423,0.030923789,0.508152331,SRP9
ENSG00000143753,2.047494914,2.047494914,4.64456503,0.002503806,0.048590321,-1.217032513,DEGS1
ENSG00000143858,-4.226482692,-4.226482692,-6.727279371,0.000299356,0.02855,0.919355329,SYT2
ENSG00000143882,2.288650079,2.288650079,5.388452379,0.001101162,0.038087773,-0.380025741,ATP6V1C2
